Nr.,VBB-Name,GKZ,lon,lat,GK4-X,GK4-Y
9086152,Hechelstr.,Berlin,13.321699,52.565596,4589724,5826658
9220339,Hechtsprung,Potsdam,13.101668,52.465990,4574974,5815324
9015101,Heckmannufer,Berlin,13.449298,52.497011,4598529,5819193
9194009,Hederichweg,Berlin,13.493242,52.438855,4601647,5812783
9037255,Heerstr. 438-446,Berlin,13.160581,52.520571,4578880,5821460
9175009,Heerstr./Chemnitzer Str.,Berlin,13.575804,52.490765,4607135,5818678
9037207,Heerstr./Magistratsweg,Berlin,13.162964,52.520997,4579041,5821510
9037211,Heerstr./Nennhauser Damm,Berlin,13.123122,52.528949,4576323,5822352
9032102,Heerstr./Wilhelmstr.,Berlin,13.179041,52.516704,4580140,5821050
9063292,Heesestr.,Berlin,13.326507,52.455080,4590276,5814367
9162002,Hegemeisterweg,Berlin,13.520218,52.474012,4603399,5816733
9037102,Heidebergplan,Berlin,13.147275,52.540841,4577941,5823701
9220103,Heidefeld/Hohe Kiefer,Kleinmachnow,13.215621,52.406258,4582830,5808802
9220111,Heidefeld/Schleusenweg,Kleinmachnow,13.205590,52.404833,4582150,5808632
9190009,Heidelberger Str.,Berlin,13.449084,52.488269,4598534,5818220
9030152,Heidereuterstr.,Berlin,13.207656,52.528727,4582060,5822420
9091103,Heiligenseestr./Hennigsdorfer Str.,Berlin,13.217162,52.611310,4582550,5831620
9089302,Heiligenseestr./Ruppiner Chaussee,Berlin,13.274886,52.598058,4586486,5830213
9230165,Heineberg,Potsdam,12.993549,52.433480,4567676,5811600
9141001,Heinersdorf,Berlin,13.437068,52.572564,4597531,5827583
9141002,Heinersdorf Kirche,Berlin,13.440390,52.568165,4597766,5827098
9140503,Heinersdorfer Str.,Berlin,13.433377,52.557097,4597315,5825857
9350263,Heinersdorfer Str.,Bernau,13.580797,52.675676,4607023,5839260
9064354,Heinersdorfer Str./Hildburghauser Str.,Berlin,13.324719,52.418575,4590229,5810303
9210833,Heinersdorfer Weg/Reha,Teltow,13.282926,52.399723,4587423,5808154
9350146,Heinestr.,Ahrensfelde,13.567180,52.582713,4606327,5828896
9131526,Heinrich-Böll-Str.,Berlin,13.401783,52.587771,4595106,5829228
9175558,Heinrich-Grüber-Platz,Berlin,13.587955,52.511291,4607910,5820980
9175528,Heinrich-Grüber-Str.,Berlin,13.593175,52.515535,4608254,5821460
9100544,Heinrich-Heine-Platz,Berlin,13.417858,52.506595,4596373,5820217
9100032,Heinrich-Heine-Str./Annenstr.,Berlin,13.413745,52.508289,4596090,5820400
9220301,Heinrich-Heine-Weg,Potsdam,13.046077,52.444917,4571230,5812923
9220136,Heinrich-Hertz-Str.,Kleinmachnow,13.185384,52.403699,4580777,5808483
9081250,Heinrich-Mann-Oberschule,Berlin,13.432413,52.415171,4597563,5810064
9131504,Heinrich-Mann-Platz,Berlin,13.394202,52.572555,4594625,5827525
9131520,Heinrich-Mann-Str.,Berlin,13.390224,52.574570,4594351,5827744
9014156,Heinrichplatz,Berlin,13.422912,52.500271,4596730,5819520
9230046,Heinrich-von-Kleist-Str.,Potsdam,13.098245,52.388184,4574873,5806663
9220035,Heinrich-Zille-Schule,Stahnsdorf,13.205288,52.383527,4582169,5806261
9093102,Heinsestr.,Berlin,13.302934,52.620086,4588342,5832698
9160006,Heizkraftwerk,Berlin,13.496126,52.487926,4601730,5818247
9171516,Helene-Weigel-Platz,Berlin,13.542878,52.525962,4604815,5822546
9170514,Heliosstr.,Berlin,13.557796,52.534871,4605806,5823559
9038251,Helleberge,Berlin,13.174520,52.474240,4579910,5816320
9175012,Hellersdorfer Eck,Berlin,13.592438,52.532621,4608162,5823360
9175556,Hellersdorfer Str./Gülzower Str.,Berlin,13.589053,52.517640,4607969,5821688
9170539,Hellersdorfer Weg,Berlin,13.553032,52.562750,4605416,5826654
9021181,Helmholtzstr.,Berlin,13.321238,52.520827,4589784,5821676
9120020,Helsingforser Platz,Berlin,13.449585,52.508413,4598523,5820462
9083206,Hennensteig,Berlin,13.476556,52.409109,4600580,5809450
9162516,Hentigstr.,Berlin,13.522773,52.484908,4603547,5817949
9210124,Hentschelstr.,Falkensee,13.088147,52.550090,4573914,5824668
9048156,Herbertstr.,Berlin,13.280128,52.491783,4587051,5818394
9085265,Herbststr.,Berlin,13.370526,52.572517,4593020,5827490
9190503,Herkomerstr.,Berlin,13.464304,52.487273,4599570,5818130
9350857,Herkulesstr.,Bernau,13.602074,52.670834,4608474,5838753
9131503,Hermann-Hesse-Str.,Berlin,13.384907,52.572970,4593994,5827559
9131527,Hermann-Hesse-Str./Waldstr.,Berlin,13.401462,52.580513,4595100,5828420
9230092,Hermann-Maaß-Str.,Potsdam,13.105760,52.400867,4575363,5808082
9079205,Hermannstr./Mariendorfer Weg,Berlin,13.432737,52.465011,4597475,5815610
9230230,Hermann-Struve-Str.,Potsdam,13.010904,52.423420,4568872,5810497
9230248,Hermannswerder/Fähre,Potsdam,13.039788,52.387104,4570895,5806484
